First Name,Last Name,End Team,Teams,OGP,Pos,GP,G,A,A1,PTS,+/-,Sh,Misses,Blocked,SHG,SHA,SHP,HitF,BkS,SOG,PPP,GWG,Total
Anthony,Peluso,WPG,WPG,,RW,49,1,1,1,2,-3,23,9,10,0,0,0,100,5,,0,0,306
Stuart,Percy,TOR,TOR,,D,9,0,3,3,3,-4,13,4,7,0,0,0,14,13,,2,0,175
Mathieu,Perreault,WPG,WPG,,C,62,18,23,18,41,7,129,39,53,0,0,0,78,13,1,12,2,1625
David,Perron,PIT,"EDM, PIT",38,LW,81,17,24,14,41,-25,196,50,77,0,0,0,171,21,4,9,2,1931
Corey,Perry,ANA,ANA,,RW,67,33,22,15,55,13,193,76,80,0,0,0,64,27,3,7,3,2073
Alex,Petrovic,FLA,FLA,,D,33,0,3,0,3,-4,29,8,23,0,0,0,76,34,,0,0,353
Jeff,Petry,MTL,"EDM, MTL",59,D,78,7,15,9,22,-28,126,59,110,0,1,1,145,109,0,4,1,1390
Dion,Phaneuf,TOR,TOR,,D,70,3,26,14,29,-11,138,79,85,0,1,1,166,126,,15,1,1775
Chris,Phillips,OTT,OTT,,D,36,0,3,2,3,0,29,12,28,0,0,0,70,54,,1,0,391
Alex,Pietrangelo,STL,STL,,D,81,7,39,16,46,-2,195,89,81,0,0,0,70,161,,12,2,2162
Steven,Pinizzotto,EDM,EDM,,RW,18,2,2,1,4,1,15,1,1,0,0,0,32,2,,0,0,198
Brandon,Pirri,FLA,FLA,,C,49,22,2,1,24,6,143,56,44,0,0,0,39,13,3,7,4,1140
Joe,Piskula,NSH,NSH,,D,1,0,0,0,0,-1,0,1,3,0,0,0,0,2,,0,0,4
Tyler,Pitlick,EDM,EDM,,RW/C,17,2,0,0,2,-3,18,13,9,0,0,0,55,17,,0,1,250
Tomas,Plekanec,MTL,MTL,,C,82,26,34,20,60,8,248,68,76,3,1,4,47,55,0,16,5,2540
Emile,Poirier,CGY,CGY,,LW/RW,6,0,1,0,1,1,2,2,2,0,0,0,7,1,,0,0,45
Roman,Polak,TOR,TOR,,D,56,5,4,1,9,-22,61,32,36,0,0,0,225,128,,0,1,1073
Jason,Pominville,MIN,MIN,,RW,82,18,36,23,54,9,252,84,97,0,0,0,44,32,3,14,4,2226
Chris,Porter,STL,STL,,LW,24,1,1,1,2,-3,24,14,6,0,0,0,63,1,,0,1,246
Paul,Postma,WPG,WPG,,D,42,2,4,1,6,1,40,20,49,0,0,0,17,28,,2,0,340
Corey,Potter,CGY,CGY,,D,6,0,0,0,0,-1,2,2,1,0,0,0,6,5,,0,0,26
Benoit,Pouliot,EDM,EDM,,LW,58,19,15,11,34,-1,105,51,18,1,0,1,71,31,0,7,3,1414
Derrick,Pouliot,PIT,PIT,,D,34,2,5,3,7,-11,56,20,38,0,0,0,15,20,0,4,2,437
Shane,Prince,OTT,OTT,,LW/C,2,0,1,0,1,1,2,2,2,0,0,0,2,0,,0,0,33
Nate,Prosser,MIN,MIN,,D,63,2,5,3,7,-1,38,15,20,0,0,0,34,102,,0,1,543
Dalton,Prout,CBJ,CBJ,,D,63,0,8,4,8,-14,64,16,50,0,0,0,166,84,,0,0,828
Brandon,Prust,MTL,MTL,,LW,82,4,14,11,18,6,78,28,24,0,1,1,122,34,,0,0,938
Matt,Puempel,OTT,OTT,,LW,13,2,1,0,3,6,14,7,5,0,0,0,9,1,,0,0,123
Teemu,Pulkkinen,DET,DET,,LW,31,5,3,1,8,5,67,30,38,0,0,0,3,4,,2,2,408
Teddy,Purcell,EDM,EDM,,RW,82,12,22,16,34,-33,146,51,73,0,0,0,24,19,2,12,0,1348
Mark,Pysyk,BUF,BUF,,D,7,2,1,0,3,4,4,3,3,0,0,0,1,11,,0,1,127
Kyle,Quincey,DET,DET,,D,73,3,15,11,18,10,90,41,86,0,1,1,104,82,,0,0,1022
Michael,Raffl,PHI,PHI,,LW,67,21,7,2,28,6,134,46,42,1,0,1,172,46,,2,2,1484
Rickard,Rakell,ANA,ANA,,C/RW,71,9,22,11,31,6,105,48,39,0,0,0,79,22,1,9,1,1297
John,Ramage,CGY,CGY,,D,1,0,0,0,0,-1,4,0,0,0,0,0,2,1,,0,0,14
Brendan,Ranford,DAL,DAL,,LW,1,0,0,0,0,0,0,1,1,0,0,0,2,0,,0,0,4
Victor,Rask,CAR,CAR,,C,80,11,22,10,33,-14,172,55,69,0,0,0,42,36,1,11,2,1475
Ty,Rattie,STL,STL,,RW,11,0,2,1,2,0,8,4,6,0,0,0,15,4,,0,0,104
Mason,Raymond,CGY,CGY,,LW,57,12,11,7,23,-8,123,24,65,0,0,0,7,13,0,1,1,891
Matt,Read,PHI,PHI,,RW,80,8,22,12,30,-4,142,59,55,0,1,1,108,55,0,5,2,1470
Ryan,Reaves,STL,STL,,RW,81,6,6,3,12,-3,55,22,16,0,0,0,276,14,,0,1,1010
Zach,Redmond,COL,COL,,D,59,5,15,9,20,-1,93,26,58,0,0,0,59,76,0,6,1,1036
Dylan,Reese,ARI,ARI,,D,1,0,0,0,0,-1,3,1,2,0,0,0,2,2,,0,0,14
Robyn,Regehr,LAK,LAK,,D,67,3,10,4,13,10,63,30,36,0,1,1,203,83,,0,0,1043
Peter,Regin,CHI,CHI,,C,4,0,1,0,1,1,3,2,0,0,0,0,3,0,,0,0,37
Griffin,Reinhart,NYI,NYI,,D,8,0,1,0,1,1,4,4,3,0,0,0,14,8,,0,0,77
Max,Reinhart,CGY,CGY,,C,4,0,0,0,0,-3,3,6,2,0,0,0,1,3,,0,0,14
Sam,Reinhart,BUF,BUF,,C,9,0,1,0,1,-1,3,0,3,0,0,0,3,5,,0,0,47
Borna,Rendulic,COL,COL,,RW/C,11,1,1,1,2,1,6,1,4,0,0,0,22,3,,0,0,112
Mike,Ribeiro,NSH,NSH,,C,82,15,47,27,62,11,96,44,29,0,0,0,42,19,,12,3,2044
Brad,Richards,CHI,CHI,,C,76,12,25,15,37,3,199,53,70,0,0,0,32,27,0,7,3,1571
Mike,Richards,LAK,LAK,,C,53,5,11,8,16,-10,63,38,25,0,0,0,62,10,0,3,1,720
Brad,Richardson,VAN,VAN,,RW/C,45,8,13,6,21,0,66,17,28,1,0,1,58,20,,1,1,863
Tobias,Rieder,ARI,ARI,,RW/C,72,13,8,2,21,-19,189,65,63,3,0,3,123,37,0,2,1,1323
Morgan,Rielly,TOR,TOR,,D,81,8,21,11,29,-16,148,61,103,0,0,0,98,103,,9,0,1513
Zac,Rinaldo,PHI,PHI,,C/LW,58,1,5,4,6,-9,45,18,13,0,0,0,216,20,,0,0,712
Rasmus,Rissanen,CAR,CAR,,D,6,0,0,0,0,-5,3,1,5,0,0,0,25,7,,0,0,70
Rasmus,Ristolainen,BUF,BUF,,D,78,8,12,6,20,-32,121,37,64,0,0,0,118,136,,9,0,1340
Brett,Ritchie,DAL,DAL,,RW,31,6,3,1,9,-1,78,29,32,0,0,0,89,5,,1,1,599
Colby,Robak,ANA,"FLA, ANA",7,D,12,0,1,0,1,2,8,4,4,0,0,0,16,10,,0,0,93
Stephane,Robidas,TOR,TOR,,D,52,1,6,1,7,8,34,23,31,0,1,1,141,75,,0,0,695
Bobby,Robins,BOS,BOS,,RW/C,3,0,0,0,0,0,0,0,0,0,0,0,6,0,,0,0,12
Antoine,Roussel,DAL,DAL,,LW,80,13,12,6,25,-20,113,56,37,0,0,0,115,71,1,3,1,1273
Derek,Roy,EDM,"NSH, EDM",26,C,72,12,20,15,32,-13,113,44,39,0,0,0,32,43,3,7,2,1286
Michal,Rozsival,CHI,CHI,,D,65,1,12,4,13,0,56,24,56,0,0,0,103,87,,0,0,817
Chad,Ruhwedel,BUF,BUF,,D,4,0,1,1,1,3,4,0,2,0,0,0,6,2,,0,0,49
David,Rundblad,CHI,CHI,,D,49,3,11,7,14,17,58,26,53,0,0,0,23,38,,1,1,618
Kris,Russell,CGY,CGY,,D,79,4,30,11,34,18,111,41,97,0,0,0,61,283,,14,0,1900
Bryan,Rust,PIT,PIT,,RW,14,1,1,0,2,-3,34,5,9,0,0,0,21,3,,0,0,166
Tuomo,Ruutu,NJD,NJD,,LW/RW,77,7,6,2,13,-3,74,28,20,0,0,0,174,23,0,0,0,867
Bobby,Ryan,OTT,OTT,,RW,78,18,36,18,54,5,221,61,85,0,0,0,110,33,4,14,5,2318
Kerby,Rychel,CBJ,CBJ,,LW,5,0,3,3,3,3,4,3,3,0,0,0,11,3,,0,0,111
Michael,Ryder,NJD,NJD,,RW,47,6,13,9,19,-1,89,39,28,0,0,0,53,14,0,2,0,807
Brandon,Saad,CHI,CHI,,LW,82,23,29,16,52,7,203,57,62,0,0,0,53,29,0,10,6,2090
Miikka,Salomaki,NSH,NSH,,RW,1,1,0,0,1,1,4,0,0,0,0,0,7,1,,0,0,49
Bryce,Salvador,NJD,NJD,,D,15,0,2,2,2,-5,13,4,10,0,0,0,22,19,,0,0,158
Henrik,Samuelsson,ARI,ARI,,C,3,0,0,0,0,-2,4,1,0,0,0,0,5,0,,0,0,18
Philip,Samuelsson,ARI,ARI,,D,4,0,0,0,0,-3,4,0,1,0,0,0,2,4,,0,0,20
Mike,Santorelli,NSH,"TOR, NSH",57,C,79,12,21,10,33,0,145,39,39,1,1,2,55,34,4,2,2,1393
David,Savard,CBJ,CBJ,,D,82,11,25,10,36,0,112,64,72,0,0,0,195,105,,10,3,1884
Luca,Sbisa,VAN,VAN,,D,76,3,8,1,11,-8,79,29,63,0,0,0,151,128,,0,2,1031
Marco,Scandella,MIN,MIN,,D,64,11,12,6,23,8,112,55,86,0,1,1,90,100,,5,4,1329
Colton,Sceviour,DAL,DAL,,C,71,9,17,5,26,1,113,55,62,0,0,0,77,41,2,4,2,1192
Tim,Schaller,BUF,BUF,,C,18,1,1,1,2,-5,19,3,4,0,0,0,44,14,,0,0,204
Mark,Scheifele,WPG,WPG,,C,82,15,34,15,49,11,170,63,77,0,0,0,100,61,0,13,2,2057
Brayden,Schenn,PHI,PHI,,C,82,18,29,21,47,-5,156,76,67,0,0,0,199,38,0,19,6,2271
Luke,Schenn,PHI,PHI,,D,58,3,11,5,14,-2,67,21,66,0,0,0,194,89,,0,0,1050
Cameron,Schilling,WSH,WSH,,D,4,0,0,0,0,1,2,2,3,0,0,0,4,2,,0,0,16
David,Schlemko,CGY,"ARI, DAL, CGY",20,D,44,1,3,0,4,1,45,11,41,0,0,0,45,84,1,2,0,468
Nate,Schmidt,WSH,WSH,,D,39,1,3,0,4,-2,40,14,33,0,0,0,34,33,0,0,0,314
Jordan,Schroeder,MIN,MIN,,C,25,3,5,3,8,9,48,10,7,0,0,0,24,6,,0,0,356
Jeff,Schultz,LAK,LAK,,D,9,0,1,1,1,1,7,4,5,0,0,0,10,9,,0,0,77
Justin,Schultz,EDM,EDM,,D,81,6,25,14,31,-17,122,71,108,0,0,0,41,114,0,12,1,1469
Nick,Schultz,PHI,PHI,,D,80,2,13,4,15,2,69,39,47,0,0,0,113,166,,1,1,1101
Jaden,Schwartz,STL,STL,,LW/C,75,28,35,23,63,13,184,47,65,0,2,2,54,46,,16,4,2423
John,Scott,SJS,SJS,,LW,38,3,1,1,4,0,19,8,13,0,0,0,94,14,,0,0,354
Rob,Scuderi,PIT,PIT,,D,82,1,9,4,10,9,52,18,48,0,1,1,41,110,,0,0,676
Brent,Seabrook,CHI,CHI,,D,82,8,23,10,31,-3,181,80,118,0,1,1,135,141,,15,2,1899
Daniel,Sedin,VAN,VAN,,LW,82,20,56,35,76,5,226,74,70,0,0,0,21,16,,25,5,2776
Henrik,Sedin,VAN,VAN,,C,82,18,55,28,73,11,101,29,35,0,0,0,25,24,,25,0,2375
Tyler,Seguin,DAL,DAL,,C,71,37,40,33,77,-1,280,110,139,0,0,0,63,26,3,29,5,3053
Dennis,Seidenberg,BOS,BOS,,D,82,3,11,3,14,-1,103,33,73,0,0,0,212,146,,0,0,1272
Jiri,Sekac,ANA,"MTL, ANA",50,LW,69,9,14,3,23,0,85,45,32,0,0,0,75,29,,3,0,983
Andrej,Sekera,LAK,"CAR, LAK",57,D,73,3,20,7,23,-3,100,54,115,0,1,1,59,118,,6,0,1209
Alexander,Semin,CAR,CAR,,RW,57,6,13,7,19,-10,93,44,70,0,0,0,30,17,0,4,0,795
Tim,Sestito,NJD,NJD,,LW/C,15,0,2,2,2,-1,10,3,3,0,0,0,22,3,,0,0,120
Tom,Sestito,VAN,VAN,,LW,3,0,1,0,1,1,1,1,0,0,0,0,10,0,,0,0,47
Devin,Setoguchi,CGY,CGY,,RW,12,0,0,0,0,-7,12,6,8,0,0,0,12,5,,0,0,58
Damon,Severson,NJD,NJD,,D,51,5,12,2,17,-13,93,47,65,0,0,0,19,34,0,7,0,787
Michael,Sgarbossa,COL,COL,,C,3,0,1,0,1,0,2,1,3,0,0,0,0,1,,0,0,31
Patrick,Sharp,CHI,CHI,,LW/RW,68,16,27,15,43,-8,230,76,107,0,0,0,74,15,3,14,2,1893
Kevin,Shattenkirk,STL,STL,,D,56,8,36,18,44,19,135,49,78,0,0,0,42,86,2,25,1,1896
Andrew,Shaw,CHI,CHI,,C,79,15,11,4,26,-8,146,40,43,0,0,0,127,33,1,6,2,1362
Riley,Sheahan,DET,DET,,C,79,13,23,14,36,-3,123,49,48,0,0,0,21,20,1,11,0,1338
James,Sheppard,NYR,"SJS, NYR",57,C,71,7,11,7,18,-4,79,39,29,0,0,0,121,43,0,1,1,966
Brendan,Shinnimin,ARI,ARI,,C,12,0,1,0,1,-1,10,5,8,0,0,0,12,4,,0,0,77
Drew,Shore,CGY,CGY,,C,11,1,2,2,3,-5,13,1,7,0,0,0,10,4,0,0,0,129
Nick,Shore,LAK,LAK,,C,34,1,6,2,7,0,33,16,8,0,0,0,51,14,,1,0,381
Justin,Shugg,CAR,CAR,,RW/LW,3,0,0,0,0,0,3,1,0,0,0,0,3,0,,0,0,12
Duncan,Siemens,COL,COL,,D,1,0,0,0,0,0,0,0,0,0,0,0,2,0,,0,0,4
Jakob,Silfverberg,ANA,ANA,,RW,81,13,26,17,39,15,189,77,68,1,2,3,42,37,9,4,2,1651
Zach,Sill,TOR,"PIT, TOR",42,C,63,1,3,3,4,-5,43,19,16,0,0,0,173,27,,0,0,586
Wayne,Simmonds,PHI,PHI,,RW,75,28,22,11,50,-5,188,68,67,0,0,0,168,36,4,24,6,2394
Mike,Sislo,NJD,NJD,,RW,10,0,1,1,1,-2,13,3,3,0,0,0,12,2,,0,0,79
Jack,Skille,CBJ,CBJ,,RW,45,6,2,2,8,-18,95,30,21,0,0,0,96,15,,0,0,612
Jeff,Skinner,CAR,CAR,,LW/C,77,18,13,9,31,-24,235,101,117,0,0,0,47,12,0,7,2,1473
Jim,Slater,WPG,WPG,,C,82,5,8,6,13,-4,51,27,11,0,1,1,134,52,,0,1,839
Ladislav,Smid,CGY,CGY,,D,31,0,1,0,1,-12,21,11,10,0,0,0,51,54,,0,0,277
Ben,Smith,SJS,"CHI, SJS",61,RW,80,7,7,5,14,2,92,37,32,0,0,0,72,75,,0,1,848
Brendan,Smith,DET,DET,,D,76,4,9,3,13,-2,88,34,65,0,0,0,60,68,0,2,1,797
Colin,Smith,COL,COL,,C,1,0,0,0,0,0,1,0,0,0,0,0,1,0,,0,0,4
Craig,Smith,NSH,NSH,,C,82,23,21,9,44,11,251,87,83,0,0,0,77,17,2,9,4,1960
Reilly,Smith,BOS,BOS,,RW,81,13,27,17,40,7,143,58,92,0,0,0,74,39,1,11,0,1622
Trevor,Smith,TOR,TOR,,C,54,2,3,2,5,-9,46,19,20,0,0,0,75,25,,0,0,417
Zack,Smith,OTT,OTT,,C,37,2,1,0,3,-8,38,11,16,0,0,0,64,13,,0,0,305
Devante,Smith-Pelly,MTL,"ANA, MTL",54,RW,74,6,14,5,20,-1,104,45,28,1,1,2,205,49,0,1,1,1286
Carl,Soderberg,BOS,BOS,,C,82,13,31,19,44,10,163,60,89,0,0,0,76,36,0,8,3,1790
Nick,Spaling,PIT,PIT,,C,82,9,18,6,27,-2,90,36,46,0,0,0,134,45,,1,0,1223
Jason,Spezza,DAL,DAL,,C,82,17,45,19,62,-7,204,109,99,0,0,0,16,26,1,26,1,2322
Ryan,Spooner,BOS,BOS,,C,29,8,10,4,18,2,73,19,21,0,0,0,17,5,0,5,1,710
Jared,Spurgeon,MIN,MIN,,D,66,9,16,9,25,3,128,53,81,0,0,0,48,124,,6,2,1325
Fr_d_ric,St-Denis,CBJ,CBJ,,D,4,0,1,0,1,-1,2,0,6,0,0,0,2,2,,0,0,37
Martin,St. Louis,NYR,NYR,,RW,74,21,31,19,52,12,144,51,45,0,0,0,13,37,1,13,1,1838
Eric,Staal,CAR,CAR,,C,77,23,31,18,54,-13,244,104,102,0,0,0,65,27,1,17,4,2272
Jordan,Staal,CAR,CAR,,C,46,6,18,10,24,-6,92,42,41,0,0,0,85,15,,7,1,1074
Marc,Staal,NYR,NYR,,D,80,5,15,3,20,18,97,37,64,0,2,2,99,123,,0,0,1178
Drew,Stafford,WPG,"BUF, WPG",50,RW,76,18,25,13,43,-12,147,43,42,0,1,1,81,15,2,9,1,1691
Matt,Stajan,CGY,CGY,,C,59,7,10,6,17,7,46,16,29,0,1,1,72,21,,0,0,723
Viktor,Stalberg,NSH,NSH,,LW,25,2,8,6,10,0,27,12,12,0,0,0,54,10,,0,1,452
Steven,Stamkos,TBL,TBL,,C,82,43,29,22,72,2,268,119,122,0,0,0,91,35,0,25,6,2958
Ryan,Stanton,VAN,VAN,,D,54,3,8,4,11,9,59,22,27,0,0,0,93,113,,0,0,805
Paul,Stastny,STL,STL,,C,74,16,30,17,46,5,143,54,35,0,0,0,22,30,,15,7,1830
Alexander,Steen,STL,STL,,LW,74,24,40,29,64,8,223,82,110,0,0,0,32,37,2,24,5,2524
Lee,Stempniak,WPG,"NYR, WPG",53,RW,71,15,13,5,28,8,115,33,59,0,0,0,78,23,1,1,3,1202
Derek,Stepan,NYR,NYR,,C,68,16,39,26,55,26,155,49,60,2,3,5,36,27,2,10,3,2071
Chris,Stewart,MIN,"BUF, MIN",61,RW,81,14,22,17,36,-26,155,47,39,0,0,0,110,16,0,10,0,1562
Jarret,Stoll,LAK,LAK,,C,73,6,11,6,17,3,83,30,22,0,2,2,167,57,0,4,2,1159
Karl,Stollery,SJS,"COL, SJS",5,D,10,0,0,0,0,-1,9,2,12,0,0,0,23,21,,0,0,106
Mark,Stone,OTT,OTT,,RW,80,26,38,22,64,21,157,64,40,1,0,1,49,53,1,13,6,2388
Michael,Stone,ARI,ARI,,D,81,3,15,10,18,-24,144,73,115,0,0,0,202,189,,5,0,1570
Clayton,Stoner,ANA,ANA,,D,69,1,7,7,8,-2,68,32,57,0,0,0,128,84,,0,1,780
Tyson,Strachan,BUF,BUF,,D,46,0,5,1,5,-30,38,16,20,0,1,1,67,105,,0,0,565
Brian,Strait,NYI,NYI,,D,52,2,5,0,7,-1,59,20,33,0,1,1,124,85,,0,0,731
Petr,Straka,PHI,PHI,,RW,3,0,2,2,2,1,2,1,2,0,0,0,4,1,,0,0,64
Anton,Stralman,TBL,TBL,,D,82,9,30,15,39,22,138,44,92,0,0,0,104,77,,14,0,1753
Ben,Street,COL,COL,,C,3,0,0,0,0,0,4,1,2,0,0,0,3,0,,0,0,14
Mark,Streit,PHI,PHI,,D,81,9,43,24,52,-8,144,52,120,0,0,0,63,103,,30,0,2220
Ryan,Strome,NYI,NYI,,C,81,17,33,25,50,23,179,42,65,1,0,1,92,21,0,8,2,1974
Brad,Stuart,COL,COL,,D,65,3,10,4,13,-4,64,30,34,0,0,0,177,134,,1,0,1085
Mark,Stuart,WPG,WPG,,D,70,2,12,7,14,5,51,28,74,0,2,2,166,142,,0,1,1128
P.K.,Subban,MTL,MTL,,D,82,15,45,21,60,21,170,86,158,0,0,0,97,142,0,21,5,2628
Chris,Summers,NYR,"ARI, NYR",17,D,20,0,3,2,3,-12,15,4,14,0,0,0,49,26,,0,0,255
Andrej,Sustr,TBL,TBL,,D,72,0,13,5,13,10,55,23,54,0,0,0,39,84,,1,0,691
Ryan,Suter,MIN,MIN,,D,77,2,36,12,38,7,150,79,131,0,1,1,69,127,,11,1,1792
Brandon,Sutter,PIT,PIT,,C,80,21,12,6,33,6,180,52,45,4,0,4,86,48,1,5,4,1663
Brett,Sutter,MIN,MIN,,LW/C,6,0,3,3,3,1,6,2,2,0,0,0,16,1,,0,0,121
Brody,Sutter,CAR,CAR,,C,4,0,0,0,0,-2,0,1,1,0,0,0,3,2,,0,0,10
Jordan,Szwarz,ARI,ARI,,RW,9,1,0,0,1,-2,8,0,2,0,0,0,5,9,,0,0,69
Max,Talbot,BOS,"COL, BOS",63,C,81,5,13,9,18,-1,97,21,27,0,0,0,132,51,1,0,1,1030
Christopher,Tanev,VAN,VAN,,D,70,2,18,7,20,8,53,31,43,0,0,0,23,170,,2,1,1032
Eric,Tangradi,MTL,MTL,,LW,7,0,0,0,0,-3,5,1,2,0,0,0,12,4,,0,0,42
Alex,Tanguay,COL,COL,,LW,80,22,33,19,55,-1,104,28,37,1,0,1,45,39,3,14,4,1991
Vladimir,Tarasenko,STL,STL,,RW,77,37,36,17,73,27,264,120,147,0,0,0,32,18,6,18,6,2753
Daniil,Tarasov,SJS,SJS,,RW/C,5,0,1,0,1,2,5,1,1,0,0,0,2,1,,0,0,41
Tomas,Tatar,DET,DET,,LW/C,82,29,27,16,56,6,211,101,100,0,0,0,90,18,3,19,7,2368
John,Tavares,NYI,NYI,,C,82,38,48,30,86,5,278,96,97,0,1,1,48,37,3,31,8,3366
Matt,Tennyson,SJS,SJS,,D,27,2,6,2,8,0,37,28,20,0,1,1,48,34,0,2,0,478
Teuvo,Teravainen,CHI,CHI,,C/LW,34,4,5,4,9,4,66,12,25,0,0,0,11,14,,1,1,437
Chris,Terry,CAR,CAR,,LW,57,11,9,7,20,-4,71,33,29,0,0,0,44,17,3,4,0,804
Christian,Thomas,MTL,MTL,,LW,18,1,0,0,1,-2,26,7,14,0,0,0,8,3,,0,0,99
Nate,Thompson,ANA,ANA,,C,80,5,13,7,18,0,87,35,27,1,0,1,204,52,,0,3,1216
Chris,Thorburn,WPG,WPG,,RW,81,7,7,2,14,-5,67,24,35,0,0,0,126,29,,0,2,834
Joe,Thornton,SJS,SJS,,C,78,16,49,28,65,-4,131,55,71,0,0,0,39,26,0,22,0,2237
Shawn,Thornton,FLA,FLA,,LW,46,1,4,1,5,-13,53,15,17,0,0,0,93,5,,0,0,427
Chris,Tierney,SJS,SJS,,C,43,6,15,10,21,3,48,18,23,0,0,0,11,17,,4,1,737
Kimmo,Timonen,CHI,CHI,,D,16,0,0,0,0,-3,10,1,6,0,0,0,15,15,,0,0,80
Jarred,Tinordi,MTL,MTL,,D,13,0,2,1,2,-5,5,5,6,0,0,0,20,18,,0,0,136
Jiri,Tlusty,WPG,"CAR, WPG",52,C/LW,72,14,17,5,31,-18,123,52,55,0,0,0,80,37,0,10,0,1355
Jonathan,Toews,CHI,CHI,,C,81,28,38,23,66,30,192,66,46,2,1,3,56,16,6,17,7,2548
Tyler,Toffoli,LAK,LAK,,C/RW,76,23,26,17,49,25,200,70,75,5,1,6,86,11,0,5,3,2049
Jordin,Tootoo,NJD,NJD,,RW,68,10,5,4,15,1,75,24,19,0,0,0,127,8,,1,1,825
Vincent,Trocheck,FLA,FLA,,C,50,7,15,12,22,9,89,33,25,0,0,0,93,19,1,1,0,962
Corey,Tropp,CBJ,CBJ,,RW,61,1,7,4,8,-14,22,14,10,0,0,0,80,28,,0,0,460
Zach,Trotman,BOS,BOS,,D,27,1,4,0,5,-2,46,24,39,0,0,0,44,33,,0,1,391
Jacob,Trouba,WPG,WPG,,D,65,7,15,8,22,2,133,60,128,0,0,0,97,120,,6,0,1310
Kyle,Turris,OTT,OTT,,C,82,24,40,25,64,5,215,83,122,1,0,1,48,40,4,16,6,2506
Dana,Tyrell,CBJ,CBJ,,C,3,0,0,0,0,-1,1,0,0,0,0,0,5,3,,0,0,18
Fedor,Tyutin,CBJ,CBJ,,D,67,3,12,4,15,8,56,36,39,0,2,2,106,117,,1,0,983
Dominik,Uher,PIT,PIT,,C,2,0,0,0,0,-1,0,0,0,0,0,0,2,1,,0,0,6
R.J.,Umberger,PHI,PHI,,C/LW,67,9,6,5,15,-9,96,41,40,0,0,0,114,40,,2,0,895
Scottie,Upshall,FLA,FLA,,LW/RW,63,8,7,4,15,-8,93,32,38,0,0,0,128,27,0,1,2,921
David,Van Der Gulik,LAK,LAK,,LW,1,0,0,0,0,0,1,0,0,0,0,0,1,0,,0,0,4
James,van Riemsdyk,TOR,TOR,,LW,82,27,29,23,56,-33,248,85,69,1,0,1,83,29,0,19,4,2410
Trevor,van Riemsdyk,CHI,CHI,,D,18,0,1,1,1,0,21,5,15,0,0,0,4,15,,0,0,105
Chris,VandeVelde,PHI,PHI,,C,72,9,6,3,15,-6,70,26,25,0,0,0,121,46,,0,0,849
Thomas,Vanek,MIN,MIN,,LW,80,21,31,23,52,-6,171,59,61,0,0,0,32,13,1,17,2,1942
Philip,Varone,BUF,BUF,,C,28,3,2,1,5,-14,28,8,9,0,0,0,30,22,0,0,0,285
Sami,Vatanen,ANA,ANA,,D,67,12,25,7,37,5,122,50,70,1,0,1,75,123,1,17,1,1775
Stephane,Veilleux,MIN,MIN,,LW,12,1,1,0,2,0,9,1,2,0,0,0,9,8,,0,1,122
Antoine,Vermette,CHI,"ARI, CHI",63,C,82,13,25,15,38,-25,109,39,40,0,0,0,80,50,5,14,1,1588
Kris,Versteeg,CHI,CHI,,LW/RW,61,14,20,13,34,11,134,41,53,0,0,0,31,22,0,5,1,1294
Linden,Vey,VAN,VAN,,RW,75,10,14,7,24,-3,61,27,37,0,0,0,14,9,,6,2,868
Tomas,Vincour,COL,COL,,C,7,0,1,1,1,-1,2,3,1,0,0,0,5,4,,0,0,47
Lubomir,Visnovsky,NYI,NYI,,D,53,5,15,9,20,-3,85,35,61,0,0,0,38,61,,5,1,938
Joe,Vitale,ARI,ARI,,C,70,3,6,4,9,-11,55,23,17,0,0,0,104,65,,0,0,673
Marc-Edouard,Vlasic,SJS,SJS,,D,70,9,14,5,23,12,98,47,92,0,0,0,51,112,,3,3,1187
Anton,Volchenkov,NSH,NSH,,D,46,0,7,1,7,4,35,16,28,0,0,0,93,48,,0,0,527
Aaron,Volpatti,WSH,WSH,,LW,2,0,0,0,0,0,1,2,0,0,0,0,3,1,,0,0,10
Jakub,Voracek,PHI,PHI,,RW,82,22,59,31,81,1,221,70,133,0,0,0,55,28,5,33,3,3023
Slava,Voynov,LAK,LAK,,D,6,0,2,1,2,0,5,6,8,0,1,1,11,8,,1,0,128
Radim,Vrbata,VAN,VAN,,RW,79,31,32,18,63,6,267,88,96,0,0,0,44,25,3,23,7,2617
Chris,Wagner,ANA,ANA,,RW,9,0,0,0,0,-2,7,3,4,0,0,0,22,3,,0,0,64
Joel,Ward,WSH,WSH,,RW,82,19,15,10,34,-4,138,57,38,0,0,0,53,38,1,11,4,1498
David,Warsofsky,BOS,BOS,,D,4,0,1,0,1,1,7,1,6,0,0,0,2,2,,0,0,47
Mike,Weaver,MTL,MTL,,D,31,0,4,0,4,0,8,10,15,0,0,0,35,61,,0,0,308
Mike,Weber,BUF,BUF,,D,64,1,6,1,7,-22,41,25,47,0,1,1,172,168,,0,0,957
Shea,Weber,NSH,NSH,,D,78,15,30,11,45,15,237,99,140,1,0,1,166,147,,15,2,2435
Yannick,Weber,VAN,VAN,,D,65,11,10,5,21,4,117,48,79,0,0,0,66,62,,8,1,1115
Dale,Weise,MTL,MTL,,RW,79,10,19,15,29,21,91,30,33,0,0,0,145,34,,0,1,1285
Stephen,Weiss,DET,DET,,C,52,9,16,7,25,-2,52,18,21,0,0,0,19,12,0,9,1,901
