First Name,Last Name,End Team,Teams,OGP,Pos,GP,G,A,A1,PTS,+/-,Sh,Misses,Blocked,SHG,SHA,SHP,HitF,BkS,SOG,PPP,GWG
Brian,Flynn,MTL,"BUF, MTL",54,C,63,5,12,8,17,-5,82,26,24,0,2,2,44,46,2,48,0
Marcus,Foligno,BUF,BUF,,LW,57,8,12,9,20,-5,66,25,17,0,1,1,193,48,0,48,0
Nick,Foligno,CBJ,CBJ,,LW,79,31,42,22,73,16,182,43,48,0,0,0,193,52,0,52,3
Christian,Folin,MIN,MIN,,D,40,2,8,5,10,3,39,18,29,0,0,0,46,42,,42,0
Justin,Fontaine,MIN,MIN,,RW,71,9,22,13,31,13,104,39,39,0,0,0,9,27,0,27,2
Filip,Forsberg,NSH,NSH,,C/RW,82,26,37,20,63,15,237,131,103,0,0,0,108,28,3,31,6
Cam,Fowler,ANA,ANA,,D,80,7,27,11,34,4,87,34,67,1,1,2,47,107,,107,2
Cody,Franson,NSH,"TOR, NSH",55,D,78,7,29,13,36,-7,127,48,77,0,0,0,177,132,,132,0
Johan,Franzen,DET,DET,,RW/C,33,7,15,6,22,-12,74,34,18,0,0,0,45,13,0,13,3
Colin,Fraser,STL,STL,,C,1,0,0,0,0,-1,1,0,0,0,0,0,1,1,,1,0
Mark,Fraser,NJD,NJD,,D,34,0,4,2,4,2,19,14,17,0,1,1,85,49,,49,0
Matt,Fraser,EDM,"BOS, EDM",24,RW,60,8,4,1,12,-16,92,23,26,0,0,0,111,20,0,20,1
Matt,Frattin,TOR,TOR,,RW,9,0,0,0,0,0,6,1,4,0,0,0,4,4,,4,0
Max,Friberg,ANA,ANA,,LW,1,0,0,0,0,0,0,0,1,0,0,0,2,0,,0,0
Michael,Frolik,WPG,WPG,,RW,82,19,23,11,42,4,206,68,99,3,0,3,63,41,,41,4
Marian,Gaborik,LAK,LAK,,RW,69,27,20,14,47,7,174,59,55,0,0,0,39,6,2,8,2
Simon,Gagne,BOS,BOS,,LW,23,3,1,0,4,0,27,4,15,0,0,0,20,7,,7,1
Sam,Gagner,ARI,ARI,,C,81,15,26,19,41,-28,183,76,64,0,0,0,63,19,2,21,1
Alex,Galchenyuk,MTL,MTL,,C,80,20,26,15,46,8,163,66,71,0,0,0,91,44,4,48,1
TJ,Galiardi,WPG,WPG,,LW,38,1,0,0,1,-8,35,11,9,0,0,0,38,14,,14,0
Stanislav,Galiev,WSH,WSH,,RW,2,1,0,0,1,1,2,1,1,0,0,0,3,0,,0,0
Brendan,Gallagher,MTL,MTL,,RW,82,24,23,16,47,18,254,79,129,0,0,0,48,49,1,50,6
Ryan,Garbutt,DAL,DAL,,LW/RW/C,67,8,17,11,25,-9,143,71,50,1,0,1,82,48,,48,2
Jake,Gardiner,TOR,TOR,,D,79,4,20,7,24,-23,100,56,97,0,0,0,109,83,,83,0
Jason,Garrison,TBL,TBL,,D,70,4,26,9,30,27,111,50,75,0,0,0,46,94,,94,3
Tyler,Gaudet,ARI,ARI,,C,2,0,0,0,0,-1,1,0,0,0,0,0,2,1,,1,0
Johnny,Gaudreau,CGY,CGY,,LW,80,24,40,24,64,11,167,50,65,0,0,0,14,27,2,29,4
Paul,Gaustad,NSH,NSH,,C,73,4,10,5,14,7,54,20,28,0,0,0,143,58,,58,1
Luke,Gazdic,EDM,EDM,,LW,40,2,1,0,3,-4,26,12,8,0,0,0,76,15,,15,0
Eric,Gelinas,NJD,NJD,,D,61,6,13,10,19,-2,112,46,86,0,0,0,82,50,,50,2
Nathan,Gerbe,CAR,CAR,,LW/C,78,10,18,10,28,-14,235,66,81,0,0,0,73,23,1,24,2
Ryan,Getzlaf,ANA,ANA,,C,77,25,45,31,70,15,191,88,78,0,2,2,100,95,0,95,6
Brian,Gibbons,CBJ,CBJ,,C,25,0,5,3,5,2,21,10,7,0,0,0,14,17,,17,0
Tom,Gilbert,MTL,MTL,,D,72,4,8,3,12,10,70,31,53,0,0,0,55,164,,164,0
Brian,Gionta,BUF,BUF,,RW,69,13,22,12,35,-13,153,49,51,1,0,1,61,31,2,33,2
Stephen,Gionta,NJD,NJD,,C/RW,61,5,8,6,13,4,84,22,21,0,2,2,92,41,,41,1
Mark,Giordano,CGY,CGY,,D,61,11,37,17,48,13,157,73,131,1,0,1,59,128,,128,2
Dan,Girardi,NYR,NYR,,D,82,4,16,9,20,12,111,38,76,0,1,1,224,184,,184,1
Zemgus,Girgensons,BUF,BUF,,C,61,15,15,5,30,-16,115,37,31,3,0,3,127,62,2,64,1
Claude,Giroux,PHI,PHI,,C/RW,81,25,48,20,73,-3,279,81,152,0,0,0,110,28,1,29,4
Tanner,Glass,NYR,NYR,,LW,66,1,5,3,6,-12,53,17,20,0,0,0,213,32,,32,0
Tim,Gleason,WSH,"CAR, WSH",55,D,72,1,8,4,9,-13,54,26,30,0,0,0,167,108,,108,0
Curtis,Glencross,WSH,"CGY, WSH",53,LW,71,13,22,12,35,2,108,45,41,0,0,0,124,50,,50,1
Luke,Glendening,DET,DET,,C,82,12,6,2,18,5,104,26,21,0,0,0,147,73,,73,2
Marcel,Goc,STL,"PIT, STL",43,C,74,3,6,1,9,-3,77,29,24,0,1,1,87,35,,35,0
Alex,Goligoski,DAL,DAL,,D,81,4,32,17,36,0,122,65,95,0,2,2,100,157,,157,0
Cody,Goloubef,CBJ,CBJ,,D,36,0,9,5,9,12,23,24,20,0,1,1,44,32,,32,0
Scott,Gomez,NJD,NJD,,C,58,7,27,13,34,-10,70,23,18,0,0,0,24,15,2,17,1
Sergei,Gonchar,MTL,"DAL, MTL",3,D,48,1,13,6,14,6,46,30,47,0,0,0,45,71,,71,0
Barclay,Goodrow,SJS,SJS,,RW/C,60,4,8,7,12,-1,68,26,37,0,1,1,76,24,0,24,2
Boyd,Gordon,EDM,EDM,,C,68,6,7,3,13,-5,65,29,20,1,1,2,31,80,0,80,1
Josh,Gorges,BUF,BUF,,D,46,0,6,1,6,-28,28,20,15,0,1,1,75,148,,148,0
Brandon,Gormley,ARI,ARI,,D,27,2,2,1,4,-7,39,8,27,0,0,0,26,32,,32,0
Shayne,Gostisbehere,PHI,PHI,,D,2,0,0,0,0,-2,2,3,1,0,0,0,0,1,,1,0
Michael,Grabner,NYI,NYI,,RW,34,8,5,1,13,4,63,30,27,0,0,0,62,21,,21,0
Mikhail,Grabovski,NYI,NYI,,C,51,9,10,3,19,3,81,44,43,0,0,0,11,19,0,19,2
Petter,Granberg,TOR,TOR,,D,7,0,0,0,0,1,1,0,1,0,0,0,16,7,,7,0
Markus,Granlund,CGY,CGY,,C,48,8,10,5,18,-4,65,17,38,0,0,0,44,24,,24,1
Mikael,Granlund,MIN,MIN,,C,68,8,31,18,39,17,99,38,56,0,0,0,47,45,0,45,2
Tyler,Graovac,MIN,MIN,,C,3,0,0,0,0,0,4,1,1,0,0,0,0,2,,2,0
Mike,Green,WSH,WSH,,D,72,10,35,21,45,15,159,67,82,0,0,0,82,93,0,93,2
Andy,Greene,NJD,NJD,,D,82,3,19,7,22,1,83,57,76,0,1,1,82,172,,172,1
Matt,Greene,LAK,LAK,,D,82,3,6,2,9,1,69,47,59,0,0,0,209,129,,129,0
Colin,Greening,OTT,OTT,,LW/C,26,1,0,0,1,-5,39,10,14,0,0,0,85,14,0,14,0
Seth,Griffith,BOS,BOS,,C,30,6,4,1,10,-2,33,20,16,0,0,0,14,13,0,13,1
Mikhail,Grigorenko,BUF,BUF,,C,25,3,3,0,6,-10,35,10,12,0,0,0,28,15,,15,0
Rocco,Grimaldi,FLA,FLA,,C,7,1,0,0,1,1,18,4,4,0,0,0,7,1,,1,0
Nicklas,Grossmann,PHI,PHI,,D,68,5,9,1,14,8,43,20,41,0,0,0,132,89,,89,0
Eric,Gryba,OTT,OTT,,D,75,0,12,7,12,11,64,29,58,0,0,0,171,58,,58,0
Radko,Gudas,TBL,TBL,,D,31,2,3,1,5,-5,63,36,33,0,0,0,115,63,,63,1
Erik,Gudbranson,FLA,FLA,,D,76,4,9,1,13,-4,110,50,69,0,0,0,212,75,0,75,0
Nate,Guenin,COL,COL,,D,76,2,13,2,15,-1,38,11,36,0,0,0,94,162,,162,0
Carl,Gunnarsson,STL,STL,,D,61,2,10,4,12,10,54,22,37,0,0,0,42,114,,114,0
Carl,Hagelin,NYR,NYR,,LW,82,17,18,10,35,18,185,69,62,0,1,1,85,36,,36,4
Ron,Hainsey,CAR,CAR,,D,81,2,8,5,10,-14,83,35,57,0,0,0,110,120,,120,0
Micheal,Haley,SJS,SJS,,C,4,0,0,0,0,-1,1,0,1,0,0,0,6,1,,1,0
Matt,Halischuk,WPG,WPG,,RW,47,3,5,1,8,5,59,13,11,0,0,0,55,24,,24,1
Taylor,Hall,EDM,EDM,,LW,53,14,24,16,38,-1,158,57,96,0,0,0,67,37,0,37,0
Dan,Hamhuis,VAN,VAN,,D,59,1,22,10,23,0,82,30,66,0,0,0,82,71,,71,0
Curtis,Hamilton,EDM,EDM,,LW,1,0,0,0,0,0,0,0,0,0,0,0,4,1,,1,0
Dougie,Hamilton,BOS,BOS,,D,72,10,32,11,42,-3,188,75,130,0,0,0,106,53,0,53,2
Freddie,Hamilton,COL,"SJS, COL",1,C,18,1,0,0,1,-2,11,3,8,0,0,0,25,3,,3,1
Ryan,Hamilton,EDM,EDM,,LW,16,1,1,1,2,-8,12,4,4,0,0,0,27,13,0,13,0
Travis,Hamonic,NYI,NYI,,D,71,5,28,14,33,15,132,55,119,0,0,0,213,131,,131,0
Scott,Hannan,SJS,SJS,,D,58,2,5,3,7,0,53,16,27,0,0,0,32,69,,69,0
Jannik,Hansen,VAN,VAN,,RW,81,16,17,13,33,-6,145,53,53,1,2,3,80,30,,30,2
Martin,Hanzal,ARI,ARI,,C,37,8,16,10,24,-1,85,32,27,0,1,1,105,18,,18,3
Scott,Harrington,PIT,PIT,,D,10,0,0,0,0,-10,9,4,4,0,0,0,12,10,,10,0
Jay,Harrison,WPG,"CAR, WPG",20,D,55,3,6,4,9,-1,50,29,51,0,0,0,76,74,,74,0
Peter,Harrold,NJD,NJD,,D,43,3,2,1,5,-10,31,15,16,0,0,0,40,39,,39,0
Ryan,Hartman,CHI,CHI,,RW,5,0,0,0,0,-1,8,2,1,0,0,0,11,2,,2,0
Scott,Hartnell,CBJ,CBJ,,LW,77,28,32,21,60,1,204,52,51,0,0,0,160,38,,38,2
Erik,Haula,MIN,MIN,,C/LW,72,7,7,5,14,-7,92,39,25,0,1,1,31,42,,42,1
Martin,Havlat,NJD,NJD,,LW/RW,40,5,9,5,14,-11,49,23,12,0,0,0,11,11,0,11,1
Eriah,Hayes,SJS,SJS,,RW,4,0,0,0,0,-2,10,0,0,0,0,0,7,4,,4,0
Jimmy,Hayes,FLA,FLA,,RW,72,19,16,11,35,-4,166,49,33,0,0,0,147,12,0,12,3
Kevin,Hayes,NYR,NYR,,RW,79,17,28,25,45,15,111,33,36,1,0,1,57,33,0,33,1
Dany,Heatley,ANA,ANA,,LW,6,0,0,0,0,-3,8,3,2,0,0,0,5,3,0,3,0
Victor,Hedman,TBL,TBL,,D,59,10,28,11,38,12,115,51,82,0,0,0,51,110,1,111,2
Jan,Hejda,COL,COL,,D,81,1,12,4,13,-12,84,34,57,0,1,1,170,140,,140,0
Seth,Helgeson,NJD,NJD,,D,22,0,2,1,2,4,11,7,10,0,0,0,42,18,,18,0
Darren,Helm,DET,DET,,C,75,15,18,13,33,7,160,50,60,2,0,2,132,25,1,26,1
Ales,Hemsky,DAL,DAL,,RW,76,11,21,8,32,-8,140,39,76,0,0,0,22,35,0,35,1
Matt,Hendricks,EDM,EDM,,LW/C,71,8,8,6,16,-14,103,37,32,1,0,1,220,72,0,72,0
Adam,Henrique,NJD,NJD,,C,75,16,27,16,43,-6,127,37,59,0,1,1,59,44,0,44,3
Tomas,Hertl,SJS,SJS,,C/LW,82,13,18,6,31,-5,145,66,78,0,0,0,106,33,0,33,4
Thomas,Hickey,NYI,NYI,,D,81,2,20,10,22,-12,82,32,67,0,2,2,117,136,,136,1
Chris,Higgins,VAN,VAN,,LW,77,12,24,16,36,8,171,62,50,0,0,0,73,34,3,37,1
Jack,Hillen,CAR,"WSH, CAR",35,D,38,0,5,1,5,-1,24,11,36,0,0,0,38,53,,53,0
Joey,Hishon,COL,COL,,C,13,1,1,0,2,-1,19,5,5,0,0,0,3,7,,7,1
Niklas,Hjalmarsson,CHI,CHI,,D,82,3,16,6,19,25,97,47,93,0,0,0,39,127,,127,1
Justin,Hodgman,ARI,ARI,,C,5,1,0,0,1,-2,3,1,0,0,0,0,8,0,,0,0
Cody,Hodgson,BUF,BUF,,C,78,6,7,5,13,-28,127,40,62,0,0,0,40,21,1,22,0
Mike,Hoffman,OTT,OTT,,LW/C,79,27,21,15,48,16,199,64,107,0,0,0,40,33,0,33,4
Nick,Holden,COL,COL,,D,78,5,9,5,14,-11,94,44,61,0,0,0,156,96,,96,2
Peter,Holland,TOR,TOR,,C,62,11,14,9,25,0,93,27,28,1,1,2,99,21,1,22,3
Korbinian,Holzer,TOR,TOR,,D,34,0,6,5,6,3,32,10,8,0,0,0,117,53,,53,0
Shawn,Horcoff,DAL,DAL,,C,76,11,18,10,29,9,82,34,34,0,0,0,80,25,1,26,1
Patric,Hornqvist,PIT,PIT,,RW,64,25,26,14,51,12,220,73,76,0,0,0,87,33,0,33,4
Bo,Horvat,VAN,VAN,,C,68,13,12,7,25,-8,93,27,22,1,0,1,70,47,,47,1
Marian,Hossa,CHI,CHI,,RW,82,22,39,21,61,17,247,73,130,1,0,1,62,26,0,26,2
Raman,Hrabarenka,NJD,NJD,,D,1,0,0,0,0,1,0,0,0,0,0,0,1,3,,3,0
Jonathan,Huberdeau,FLA,FLA,,LW/C,79,15,39,27,54,10,169,37,59,0,0,0,68,24,3,27,0
Jiri,Hudler,CGY,CGY,,C/RW,78,31,45,29,76,17,158,65,47,0,0,0,27,14,2,16,5
Brad,Hunt,EDM,EDM,,D,11,1,2,2,3,-6,20,13,16,0,0,0,8,10,,10,0
Matt,Hunwick,NYR,NYR,,D,55,2,9,5,11,17,72,25,43,0,0,0,55,43,,43,1
Jarome,Iginla,COL,COL,,RW,82,29,30,23,59,0,189,56,105,0,0,0,99,47,2,49,2
Matt,Irwin,SJS,SJS,,D,53,8,11,6,19,3,93,30,68,0,0,0,55,65,0,65,1
Barret,Jackman,STL,STL,,D,80,2,13,6,15,3,86,27,46,0,1,1,108,126,,126,1
Tim,Jackman,ANA,ANA,,RW,55,5,2,0,7,-4,55,29,17,0,0,0,110,19,,19,1
Jaromir,Jagr,FLA,"NJD, FLA",57,RW,77,17,30,21,47,-3,169,57,74,0,0,0,30,14,0,14,5
Calle,Jarnkrok,NSH,NSH,,C,74,7,11,5,18,2,95,40,43,0,1,1,32,21,,21,1
Dmitrij,Jaskin,STL,STL,,RW,54,13,5,2,18,7,108,49,34,0,0,0,146,21,0,21,4
Boone,Jenner,CBJ,CBJ,,C,31,9,8,6,17,-5,83,24,29,0,0,0,102,25,1,26,2
Nicklas,Jensen,VAN,VAN,,RW/LW,5,0,0,0,0,-1,7,0,2,0,0,0,7,4,,4,0
Jesse,Joensuu,EDM,EDM,,LW,20,2,2,0,4,-8,18,10,2,1,0,1,37,9,,9,0
Ryan,Johansen,CBJ,CBJ,,C,82,26,45,24,71,-6,202,69,83,2,0,2,84,33,6,39,0
Marcus,Johansson,WSH,WSH,,LW/C,82,20,27,8,47,6,138,52,63,0,0,0,69,18,0,18,1
Erik,Johnson,COL,COL,,D,47,12,11,5,23,2,115,37,74,0,1,1,93,107,,107,2
Jack,Johnson,CBJ,CBJ,,D,79,8,32,11,40,-13,141,56,76,0,0,0,157,131,1,132,1
Tyler,Johnson,TBL,TBL,,C,77,29,43,30,72,33,203,62,77,0,0,0,64,36,,36,6
Jussi,Jokinen,FLA,FLA,,LW/C,81,8,36,19,44,-2,134,36,47,0,0,0,52,50,2,52,0
Olli,Jokinen,STL,"NSH, TOR, STL",48,C,62,4,6,6,10,6,110,38,34,0,0,0,64,19,0,19,1
Jyrki,Jokipakka,DAL,DAL,,D,51,0,10,4,10,-2,40,23,38,0,0,0,42,66,,66,0
Blair,Jones,PHI,PHI,,C,4,0,0,0,0,-4,0,1,2,0,0,0,7,1,,1,0
David,Jones,CGY,CGY,,RW,67,14,16,10,30,-3,114,47,45,0,0,0,125,45,,45,1
Seth,Jones,NSH,NSH,,D,82,8,19,9,27,3,123,47,94,1,0,1,72,90,,90,0
Josh,Jooris,CGY,CGY,,C/RW,60,12,12,6,24,1,89,41,33,0,0,0,59,29,1,30,4
Michal,Jordan,CAR,CAR,,D,38,2,4,0,6,-7,44,8,33,0,0,0,35,61,,61,0
Jacob,Josefson,NJD,NJD,,C,62,6,5,2,11,0,61,26,24,3,0,3,55,30,5,35,1
Roman,Josi,NSH,NSH,,D,81,15,40,22,55,15,201,55,134,0,3,3,53,209,1,210,4
Tomas,Jurco,DET,DET,,RW,63,3,15,9,18,6,92,42,35,0,0,0,97,11,0,11,0
Nazem,Kadri,TOR,TOR,,C,73,18,21,11,39,-7,176,71,80,1,0,1,118,23,1,24,1
Patrick,Kaleta,BUF,BUF,,RW,42,0,3,2,3,-11,25,5,10,0,1,1,88,25,,25,0
Steven,Kampfer,FLA,FLA,,D,25,2,2,1,4,-4,28,18,20,0,0,0,49,33,,33,1
Evander,Kane,WPG,WPG,,LW,37,10,12,7,22,-1,126,60,58,1,2,3,119,14,2,16,1
Patrick,Kane,CHI,CHI,,RW,61,27,37,25,64,10,186,55,82,0,0,0,22,14,6,20,5
Erik,Karlsson,OTT,OTT,,D,82,21,45,25,66,7,292,145,217,0,0,0,93,89,1,90,3
Melker,Karlsson,SJS,SJS,,C,53,13,11,5,24,-3,100,41,33,0,0,0,51,26,2,28,2
William,Karlsson,CBJ,"ANA, CBJ",18,C,21,3,2,2,5,3,29,15,8,0,0,0,18,7,1,8,1
Zack,Kassian,VAN,VAN,,RW,42,10,6,4,16,-5,55,16,21,0,0,0,88,2,,2,3
Duncan,Keith,CHI,CHI,,D,80,10,35,19,45,12,171,71,163,0,1,1,16,113,,113,2
Chris,Kelly,BOS,BOS,,C,80,7,21,9,28,6,112,42,34,1,1,2,126,61,0,61,2
Ronalds,Kenins,VAN,VAN,,LW,30,4,8,5,12,-2,38,12,18,0,0,0,71,7,,7,0
Tyler,Kennedy,NYI,"SJS, NYI",25,C/LW,38,6,8,6,14,-2,79,23,39,0,0,0,49,8,0,8,2
Ryan,Kesler,ANA,ANA,,C,81,20,27,16,47,-5,205,88,90,1,2,3,169,69,4,73,4
Phil,Kessel,TOR,TOR,,RW/C,82,25,36,17,61,-34,280,88,138,0,0,0,18,13,0,13,4
Alex,Khokhlachev,BOS,BOS,,C/LW,3,0,0,0,0,-2,1,0,0,0,0,0,1,0,1,1,0
Alex,Killorn,TBL,TBL,,C/LW,71,15,23,13,38,8,130,50,45,1,0,1,60,21,,21,5
Jakub,Kindl,DET,DET,,D,35,5,8,3,13,2,54,20,44,0,0,0,31,25,,25,0
Dwight,King,LAK,LAK,,LW,81,13,13,9,26,-3,127,38,34,0,1,1,124,14,0,14,1
Oscar,Klefbom,EDM,EDM,,D,60,2,18,7,20,-21,98,56,73,0,0,0,45,102,0,102,0
Kevin,Klein,NYR,NYR,,D,65,9,17,6,26,24,76,30,69,0,0,0,126,115,,115,4
Carl,Klingberg,WPG,WPG,,LW,2,0,0,0,0,-1,0,0,0,0,0,0,2,0,,0,0
John,Klingberg,DAL,DAL,,D,65,11,29,18,40,5,98,42,97,0,0,0,54,77,0,77,3
Rob,Klinkhammer,EDM,"ARI, PIT, EDM",19,LW/C,69,5,4,3,9,-4,64,30,24,0,0,0,236,12,1,13,0
Corban,Knight,CGY,CGY,,C,2,0,0,0,0,0,2,1,1,0,0,0,4,1,0,1,0
Slater,Koekkoek,TBL,TBL,,D,3,0,0,0,0,0,6,1,1,0,0,0,2,3,,3,0
Mikko,Koivu,MIN,MIN,,C,80,14,34,17,48,2,179,57,65,0,0,0,40,41,3,44,4
Leo,Komarov,TOR,TOR,,C,62,8,18,12,26,0,84,25,29,1,2,3,250,25,,25,1
Tomas,Kopecky,FLA,FLA,,RW,64,2,6,5,8,-19,106,38,40,0,0,0,88,22,0,22,1
Anze,Kopitar,LAK,LAK,,C,79,16,48,30,64,-2,134,56,63,0,0,0,105,46,1,47,4
Lauri,Korpikoski,ARI,ARI,,LW,69,6,15,8,21,-27,82,39,42,0,1,1,141,48,,48,1
Michael,Kostka,NYR,NYR,,D,7,0,1,0,1,1,7,1,5,0,0,0,6,9,,9,0
Brandon,Kozun,TOR,TOR,,RW,20,2,2,1,4,-3,8,0,8,0,0,0,21,4,,4,0
Chris,Kreider,NYR,NYR,,LW/C,80,21,25,16,46,24,180,74,43,0,0,0,162,17,,17,5
David,Krejci,BOS,BOS,,C,47,7,24,12,31,7,70,32,39,1,0,1,35,29,1,30,1
Niklas,Kronwall,DET,DET,,D,80,9,35,13,44,-4,101,39,75,0,0,0,91,106,0,106,1
Torey,Krug,BOS,BOS,,D,78,12,27,14,39,13,205,88,128,0,0,0,75,68,1,69,0
Marcus,Kruger,CHI,CHI,,C,81,7,10,6,17,-5,126,29,36,0,0,0,29,50,,50,1
Nikita,Kucherov,TBL,TBL,,RW,82,29,36,22,65,38,191,68,62,0,0,0,65,28,2,30,2
Brett,Kulak,CGY,CGY,,D,1,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0
Nikolay,Kulemin,NYI,NYI,,LW,82,15,16,7,31,7,115,50,47,3,1,4,129,58,0,58,0
Dmitry,Kulikov,FLA,FLA,,D,73,3,19,6,22,0,83,35,65,0,1,1,114,105,0,105,0
Chris,Kunitz,PIT,PIT,,LW,74,17,23,16,40,2,170,64,70,1,0,1,211,29,0,29,5
Evgeny,Kuznetsov,WSH,WSH,,C,80,11,26,17,37,10,127,49,54,0,0,0,43,15,5,20,1
Andrew,Ladd,WPG,WPG,,LW,81,24,38,24,62,9,224,82,76,0,1,1,212,38,2,40,6
Brooks,Laich,WSH,WSH,,C,66,7,13,7,20,-2,106,29,36,0,1,1,107,53,1,54,2
Anton,Lander,EDM,EDM,,C,38,6,14,6,20,-12,61,14,13,0,0,0,59,12,0,12,2
Gabriel,Landeskog,COL,COL,,LW,82,23,36,21,59,-2,214,66,69,0,0,0,169,73,1,74,2
Maxim,Lapierre,PIT,"STL, PIT",45,C,80,2,9,6,11,-15,86,24,22,0,0,0,153,36,,36,0
Adam,Larsson,NJD,NJD,,D,64,3,21,9,24,2,91,33,54,0,3,3,92,120,,120,1
Johan,Larsson,BUF,BUF,,LW,39,6,10,4,16,0,50,22,16,0,0,0,59,19,,19,0
Brian,Lashoff,DET,DET,,D,11,0,2,0,2,4,7,3,2,0,0,0,7,14,,14,0
Michael,Latta,WSH,WSH,,C,53,0,6,4,6,4,24,11,16,0,0,0,91,14,0,14,0
Scott,Laughton,PHI,PHI,,C/LW,31,2,4,3,6,-1,51,14,24,0,0,0,58,11,0,11,0
Oliver,Lauridsen,PHI,PHI,,D,1,0,0,0,0,-1,2,1,0,0,0,0,2,0,,0,0
Curtis,Lazar,OTT,OTT,,C,67,6,9,6,15,1,92,34,39,0,0,0,167,40,,40,0
Vincent,Lecavalier,PHI,PHI,,C,57,8,12,9,20,-7,103,41,43,0,0,0,40,15,0,15,0
Nick,Leddy,NYI,NYI,,D,78,10,27,9,37,18,120,46,70,0,1,1,73,90,,90,1
Anders,Lee,NYI,NYI,,C,76,25,16,9,41,9,197,65,41,0,0,0,169,29,,29,6
David,Legwand,OTT,OTT,,C,80,9,18,11,27,1,91,28,43,0,2,2,43,25,0,25,0
Jori,Lehtera,STL,STL,,C,75,14,30,19,44,21,103,30,42,1,1,2,43,35,1,36,2
Josh,Leivo,TOR,TOR,,LW,9,1,0,0,1,-1,10,3,3,0,0,0,5,0,,0,0
Jordan,Leopold,MIN,"STL, CBJ, MIN",7,D,43,1,3,2,4,-6,39,6,27,0,0,0,33,50,,50,0
Bryan,Lerg,SJS,SJS,,C/LW,2,1,0,0,1,-1,8,1,0,0,0,0,3,0,,0,1
Lucas,Lessio,ARI,ARI,,LW,26,2,3,1,5,-10,44,10,9,0,0,0,59,6,1,7,0
Kris,Letang,PIT,PIT,,D,69,11,43,20,54,12,197,59,126,1,0,1,131,117,2,119,1
Mark,Letestu,CBJ,CBJ,,C,54,7,6,4,13,-9,63,15,23,1,0,1,51,24,2,26,1
Trevor,Lewis,LAK,LAK,,C,73,9,16,8,25,8,143,40,38,1,0,1,192,19,0,19,2
John-Michael,Liles,CAR,CAR,,D,57,2,20,6,22,-9,90,45,59,0,0,0,71,74,,74,0
Oscar,Lindberg,NYR,NYR,,C,1,0,0,0,0,0,2,0,1,0,0,0,3,0,,0,0
Matt,Lindblad,BOS,BOS,,C/LW,2,0,0,0,0,0,3,1,1,0,0,0,2,0,,0,0
Petteri,Lindbohm,STL,STL,,D,23,2,1,1,3,-1,32,8,13,0,0,0,26,22,,22,0
Elias,Lindholm,CAR,CAR,,C,81,17,22,13,39,-23,170,53,79,0,0,0,106,30,2,32,4
Hampus,Lindholm,ANA,ANA,,D,78,7,27,15,34,25,107,44,84,0,0,0,59,77,,77,1
Joakim,Lindstrom,TOR,"STL, TOR",34,C,53,4,6,3,10,-15,61,22,34,0,0,0,14,5,1,6,0
Bryan,Little,WPG,WPG,,C,70,24,28,15,52,8,148,55,70,1,0,1,56,32,2,34,3
Ben,Lovejoy,PIT,"ANA, PIT",40,D,60,2,12,4,14,-4,86,39,50,0,2,2,170,105,,105,0
Keegan,Lowe,CAR,CAR,,D,2,0,0,0,0,-2,0,0,4,0,0,0,3,4,,4,0
Adam,Lowry,WPG,WPG,,LW,80,11,12,9,23,1,104,41,39,1,0,1,256,32,,32,2
Milan,Lucic,BOS,BOS,,LW,81,18,26,17,44,13,141,73,61,0,0,0,259,23,0,23,4
Joffrey,Lupul,TOR,TOR,,LW/RW,55,10,11,7,21,-10,97,42,31,0,0,0,78,20,2,22,1
Olli,Maatta,PIT,PIT,,D,20,1,8,4,9,1,27,11,18,0,0,0,18,33,,33,0
Clarke,MacArthur,OTT,OTT,,LW,62,16,20,13,36,-6,140,47,57,0,0,0,70,17,0,17,5
Andrew,MacDonald,PHI,PHI,,D,58,2,10,4,12,-5,62,36,54,0,0,0,35,86,,86,0
Derek,MacKenzie,FLA,FLA,,C,82,5,6,2,11,-17,72,28,24,0,0,0,273,51,1,52,0
Nathan,MacKinnon,COL,COL,,C,64,14,24,15,38,-7,192,65,66,0,0,0,43,41,6,47,2
Andrew,MacWilliam,TOR,TOR,,D,12,0,2,0,2,-6,5,2,6,0,0,0,35,20,,20,0
Manny,Malhotra,MTL,MTL,,C,58,1,3,1,4,-6,46,17,16,0,0,0,37,62,,62,1
Evgeni,Malkin,PIT,PIT,,C,69,28,42,21,70,-2,212,94,81,0,0,0,24,18,1,19,4
Brad,Malone,CAR,CAR,,C,65,7,8,5,15,-8,65,33,19,0,0,0,162,16,,16,2
Ryan,Malone,NYR,NYR,,LW,6,0,0,0,0,-4,6,2,0,0,0,0,14,2,,2,0
Brandon,Manning,PHI,PHI,,D,11,0,3,2,3,3,10,6,8,0,0,0,19,13,,13,0
Josh,Manson,ANA,ANA,,D,28,0,3,1,3,1,26,8,21,0,0,0,44,24,,24,0
Brad,Marchand,BOS,BOS,,LW/C,77,24,18,14,42,5,180,65,67,2,1,3,72,28,2,30,5
Alexey,Marchenko,DET,DET,,D,13,1,1,0,2,1,7,4,8,0,0,0,9,10,,10,0
Jonathan,Marchessault,TBL,TBL,,C,2,1,0,0,1,1,3,1,1,0,0,0,4,0,,0,0
Martin,Marincin,EDM,EDM,,D,41,1,4,2,5,-4,38,29,47,0,0,0,17,59,1,60,0
