First Name,Last Name,End Team,Teams,OGP,Pos,GP,G,A,A1,PTS,+/-,Sh,Misses,Blocked,SHG,SHA,SHP,HitF,BkS,SOG,PPP,GWG
David,Booth,TOR,TOR,,LW,59,7,6,5,13,-8,107,38,36,0,1,1,87,8,,8,2
Patrick,Bordeleau,COL,COL,,LW,1,0,0,0,0,0,0,0,0,0,0,0,2,0,,0,0
Mark,Borowiecki,OTT,OTT,,D,63,1,10,4,11,15,30,20,27,0,0,0,233,102,,102,0
Robert,Bortuzzo,STL,"PIT, STL",38,D,51,3,5,3,8,-9,56,26,42,0,0,0,157,61,,61,0
Reid,Boucher,NJD,NJD,,LW/C,11,1,0,0,1,-4,20,11,6,0,0,0,9,5,0,5,0
Eric,Boulton,NYI,NYI,,LW,10,2,0,0,2,-1,9,2,2,0,0,0,10,4,,4,0
Lance,Bouma,CGY,CGY,,C/LW,78,16,18,12,34,10,104,44,30,0,1,1,264,82,,82,4
Michael,Bournival,MTL,MTL,,LW,29,3,2,1,5,3,27,6,13,0,0,0,26,10,,10,1
Gabriel,Bourque,NSH,NSH,,LW,69,3,10,7,13,-13,76,30,20,0,0,0,141,44,,44,0
Rene,Bourque,CBJ,"MTL, ANA, CBJ",13,RW,51,6,8,7,14,-15,85,41,40,0,0,0,71,11,,11,1
Ryan,Bourque,NYR,NYR,,C/LW,1,0,0,0,0,-1,1,2,0,0,0,0,0,0,,0,0
Jay,Bouwmeester,STL,STL,,D,72,2,11,6,13,7,92,56,51,0,0,0,42,99,,99,0
Drayson,Bowman,MTL,MTL,,LW,3,0,0,0,0,0,0,1,0,0,0,0,3,0,,0,0
Johnny,Boychuk,NYI,NYI,,D,72,9,26,13,35,15,192,79,117,0,1,1,171,149,,149,1
Zach,Boychuk,CAR,CAR,,LW,31,3,3,2,6,0,35,10,12,0,0,0,40,9,0,9,0
Brad,Boyes,FLA,FLA,,RW,78,14,24,18,38,11,151,62,48,0,0,0,60,38,2,40,4
Brian,Boyle,TBL,TBL,,C,82,15,9,7,24,3,140,38,46,3,0,3,136,68,,68,5
Dan,Boyle,NYR,NYR,,D,65,9,11,3,20,18,116,48,80,0,0,0,49,79,0,79,3
Tyler,Bozak,TOR,TOR,,C,82,23,26,16,49,-34,154,51,42,2,0,2,83,46,3,49,3
Derick,Brassard,NYR,NYR,,C,80,19,41,16,60,9,168,49,64,0,0,0,106,13,,13,3
Justin,Braun,SJS,SJS,,D,70,1,22,8,23,8,94,42,75,0,0,0,79,130,,130,0
TJ,Brennan,TOR,TOR,,D,6,0,1,0,1,-7,11,3,9,0,0,0,2,5,,5,0
Eric,Brewer,TOR,"TBL, ANA, TOR",17,D,44,3,8,3,11,-5,33,21,36,0,1,1,87,72,,72,1
Daniel,Briere,COL,COL,,C,57,8,4,1,12,-7,69,27,17,0,0,0,19,9,1,10,3
TJ,Brodie,CGY,CGY,,D,81,11,30,15,41,15,133,49,101,1,2,3,27,178,,178,3
Jonas,Brodin,MIN,MIN,,D,71,3,14,4,17,21,95,28,63,0,1,1,31,128,,128,1
Kyle,Brodziak,MIN,MIN,,C,73,9,11,6,20,-6,86,30,26,1,0,1,56,63,,63,0
Julien,Brouillette,WPG,WPG,,D,1,0,0,0,0,0,0,0,0,0,0,0,1,1,,1,0
Troy,Brouwer,WSH,WSH,,RW,82,21,22,10,43,11,145,67,58,2,0,2,206,39,1,40,3
Chris,Brown,WSH,WSH,,C,5,1,0,0,1,1,4,0,0,0,0,0,6,1,,1,0
Dustin,Brown,LAK,LAK,,RW/LW,82,11,16,12,27,-17,189,78,72,0,0,0,242,24,0,24,3
J.T.,Brown,TBL,TBL,,RW,52,3,6,3,9,-2,74,26,24,0,0,0,43,20,,20,0
Mike,Brown,SJS,SJS,,RW,12,0,0,0,0,0,11,9,4,0,0,0,42,7,,7,0
Patrick,Brown,CAR,CAR,,C,7,0,0,0,0,-4,4,3,3,0,0,0,11,2,,2,0
Damien,Brunner,NJD,NJD,,RW/C,17,2,5,3,7,-1,29,14,16,0,0,0,7,3,0,3,0
Andre,Burakovsky,WSH,WSH,,LW,53,9,13,6,22,12,65,36,41,0,0,0,22,18,0,18,2
Adam,Burish,SJS,SJS,,RW,20,1,2,2,3,-6,22,9,7,0,0,0,11,19,,19,0
Brent,Burns,SJS,SJS,,D,82,17,43,24,60,-9,245,140,208,0,0,0,148,124,2,126,2
Alexandre,Burrows,VAN,VAN,,RW/LW,70,18,15,9,33,0,145,54,37,1,0,1,73,33,1,34,3
Chris,Butler,STL,STL,,D,33,3,6,3,9,8,54,10,27,1,0,1,31,38,,38,0
Dustin,Byfuglien,WPG,WPG,,D,69,18,27,8,45,5,209,97,117,0,1,1,203,59,,59,3
Paul,Byron,CGY,CGY,,C/LW,57,6,13,6,19,-2,62,23,29,0,2,2,101,24,,24,0
Ryan,Callahan,TBL,TBL,,RW,77,24,30,21,54,9,191,51,63,0,0,0,184,46,2,48,4
Matt,Calvert,CBJ,CBJ,,LW,56,13,10,6,23,1,93,31,32,0,1,1,92,20,0,20,3
Mike,Cammalleri,NJD,NJD,,LW,68,27,15,7,42,2,156,48,55,2,0,2,30,17,1,18,8
Andrew,Campbell,ARI,ARI,,D,33,0,1,0,1,-13,28,16,18,0,0,0,67,58,,58,0
Brian,Campbell,FLA,FLA,,D,82,3,24,13,27,4,118,38,63,0,0,0,44,85,0,85,0
Gregory,Campbell,BOS,BOS,,C,70,6,6,3,12,1,64,17,25,1,0,1,119,41,,41,2
Daniel,Carcillo,CHI,CHI,,LW,39,4,4,3,8,3,42,19,11,0,0,0,36,7,,7,0
Paul,Carey,COL,COL,,C,10,0,1,1,1,2,5,6,3,0,0,0,12,2,,2,0
Matthew,Carle,TBL,TBL,,D,59,4,14,7,18,12,73,28,45,0,0,0,26,104,0,104,0
John,Carlson,WSH,WSH,,D,82,12,43,24,55,11,193,89,112,1,0,1,74,200,1,201,3
Jordan,Caron,COL,"BOS, COL",11,RW,30,0,0,0,0,-2,12,5,10,0,0,0,41,8,,8,0
Sam,Carrick,TOR,TOR,,C,16,1,1,0,2,1,17,5,2,0,0,0,30,1,,1,0
Jeff,Carter,LAK,LAK,,C,82,28,34,18,62,7,218,113,89,1,1,2,76,33,2,35,5
Ryan,Carter,MIN,MIN,,C,53,3,10,5,13,3,47,26,15,1,0,1,77,30,,30,0
Cody,Ceci,OTT,OTT,,D,81,5,16,9,21,-4,130,43,72,0,0,0,89,113,,113,0
Michael,Chaput,CBJ,CBJ,,C,33,1,4,2,5,-8,23,12,5,0,0,0,59,20,,20,0
Zdeno,Chara,BOS,BOS,,D,63,8,12,5,20,0,138,40,76,0,3,3,125,99,0,99,0
Ben,Chiarot,WPG,WPG,,D,40,2,6,4,8,5,37,17,34,0,0,0,70,51,,51,0
Alex,Chiasson,OTT,OTT,,RW,76,11,15,9,26,-5,105,36,34,0,1,1,93,20,0,20,1
Jason,Chimera,WSH,WSH,,LW,77,7,12,9,19,-1,96,39,44,0,0,0,132,18,0,18,2
Kyle,Chipchura,ARI,ARI,,C,70,4,10,4,14,-23,81,19,28,0,0,0,130,29,,29,0
Taylor,Chorney,PIT,PIT,,D,7,0,0,0,0,-1,4,5,4,0,0,0,5,3,,3,0
Casey,Cizikas,NYI,NYI,,C,70,9,9,4,18,-2,90,30,39,2,0,2,144,50,,50,2
Mat,Clark,ANA,ANA,,D,7,0,1,1,1,2,2,1,4,0,0,0,10,5,,5,0
David,Clarkson,CBJ,"TOR, CBJ",58,RW,61,10,5,1,15,-12,95,48,26,0,0,0,133,19,,19,1
Daniel,Cleary,DET,DET,,RW,17,1,1,0,2,-4,17,5,6,0,0,0,21,9,,9,0
Adam,Clendening,VAN,"CHI, VAN",4,D,21,1,3,1,4,2,17,13,19,0,0,0,9,22,,22,0
Marc-Andre,Cliche,COL,COL,,C/RW,74,2,5,4,7,-2,68,10,23,0,0,0,27,28,,28,0
Kyle,Clifford,LAK,LAK,,LW,80,6,9,6,15,5,117,36,39,0,0,0,200,14,,14,1
